entity	index	name	label	actorOrService	hierarchy	description	originalAlternativeName	type	nistDomain	cimZone	euWp1ActorOrRole	euWp1RelatedRole	euWp1FunctionOrService
entity:BusinessPlanningAndReporting-93	93	Business Planning and Reporting	Business Planning and Reporting	Service	Conceptual	These actors perform strategic business modeling, manpower planning, reporting, account management, and both assess and report on risk, performance and business impact.		Application	Operations				function
entity:BuyEnergy-94	94	buy energy	buy energy	Service	Conceptual	services that enable buying energy		Business Service	Service Provider				
entity:CalibrateMeasurementSystem-95	95	calibrate measurement system	calibrate measurement system	Service	Conceptual	adjust customer measurement system within specifications		Automation Service	Service Provider				
entity:Calibration-96	96	Calibration	Calibration	Service	Conceptual	A service that calibrates the performance of an entity		Automation Service	Cross-cutting				
entity:CallTaker-97	97	Call Taker	Call Taker	Person		ServiceComposition performing strategic business modeling, manpower planning, reporting, account management, and both assess and report on risk, performance and business impact							
entity:Campus-98	98	Campus	Campus	Actor	Logical - 2nd	Set of co-located grounds and buildings operated by an entity such as a corporation.  Examples include, industrial parks, universities and corporate business parks,and supporting physical infrastructures		Facility	Cross Cutting	Enterprise			
entity:Cancelation-99	99	Cancelation	Cancelation	Service	Conceptual	A service that supports canceling automated actions.		Automation Service	Customer				
entity:CapabilityManagey-100	100	Capability Managey	Capability Managey	Service	Conceptual	Find all available capabilities		Business Service	Customer				
entity:CapacitorBank-101	101	Capacitor Bank	Capacitor Bank	Actor	Logical	Control  voltage  by minimizing voltage drops  and absorbing  line spikes. They also provide Volt/VAR control compensating for VAR losses for large inductive loads.		Device	Distribution		system actor	grid operator	
entity:CapacityProductsSupportService-102	102	Capacity Products Support Service	Capacity Products Support Service	Service	Conceptual	Provides the supporting services to allow the development of market products that encourages adequate energy capacity		Automation Service	Market				
entity:CapacityTrader-103	103	Capacity Trader	Capacity Trader	Role		A party that has a contract to participate in the capacity market to acquire capacity through a Transmission Capacity Allocator.  Note: The capacity may be acquired on behalf of an Interconnection Trade Responsible or for sale on secondarycapacity markets.							
entity:CEM-104	104	CEM	CEM	-		-							
entity:CEMSUser-105	105	CEMS-user	CEMS-user	-		0.0							
entity:ChargeServiceProviderCSP-106	106	Charge Service Provider, CSP	Charge Service Provider, CSP	Role		0.0							
entity:ChargeSpotAreaOwner-107	107	Charge Spot Area Owner	Charge Spot Area Owner	Role		A party that owns the location in which the charge spots are installed.							
entity:ChargeSpotOperationsCSO-108	108	Charge Spot Operations, CSO	Charge Spot Operations, CSO	-		Operates charging stations. Receives charge plans and is responsible for the execution of a charge plan.Other responsibilities: Authenticate or relay to CSP for authentication, negotiation of charging capabilities and finally executing charging service request within boundaries (grid capacity, RE/E-availability).Energy metering							
entity:ChargingSpotCS-109	109	Charging Spot, CS	Charging Spot, CS	-		The connector from station to EVs							
entity:CheckBackground-110	110	check background	check background	Service	Conceptual	Perform a background check on the participant		Business Service	Market				
entity:CheckCredit-111	111	check credit	check credit	Service	Conceptual	Confirm that the participant has enough credit to meet the requested transaction		Business Service	Market				
entity:CheckMeasurementSystemDataAccuracy-112	112	Check measurement system data accuracy	Check measurement system data accuracy	Service	Conceptual	Check measurement system data accuracy		Automation Service	Service Provider				
entity:CircuitConfiguration-113	113	Circuit configuration	Circuit configuration	Service	Conceptual	Provides the current distribution system configuration.		Automation Service	Distribution				
entity:CircuitDeviceConfiguration-114	114	Circuit device configuration	Circuit device configuration	Service	Conceptual	Specifys the necessary circuit device configuration required to perform load flow analysis.		Automation Service	Distribution				
entity:CircuitDeviceSpecifications-115	115	Circuit device specifications	Circuit device specifications	Service	Conceptual	Provides the necessary circuit device specifications required to perform load flow analysis.		Automation Service	Transmission; Distribution				
entity:CircuitOptimizer-116	116	Circuit optimizer	Circuit optimizer	Service	Conceptual	Provides the automated device switching for optimal circuit load flow.		Automation Service	Transmission				
entity:CircuitUpdateCollector-117	117	Circuit update collector	Circuit update collector	Service	Conceptual	Collects and stores the circuit update information for an update in the field the transmission circuit connectivity map and spatial/geo asset information		Automation Service	Transmission				
entity:CircuitUpdateCollector-118	118	Circuit update collector	Circuit update collector	Service	Conceptual	This service collects and stores the circuit update information for an update in the field to a distribution circuit.		Automation Service	Distribution				
entity:CircuitUpdateDetector-119	119	Circuit update detector	Circuit update detector	Service	Conceptual	Detects field equipment and circuit updates including new equipment. This includes location-related attributes, functional capabilities and other spatial-physical asset information		Automation Service	Transmission				
